p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,2.8623642235984956,0.241,0.043,0,1,CASP4
0,2.8616526267400526,0.166,0.036,0,1,ARHGAP4
0,2.857040076051264,0.269,0.067,0,1,MBP
0,2.8471114609239523,0.131,0.025,0,1,PSMB8-AS1
0,2.846750031213994,0.262,0.071,0,1,TCF7
0,2.8452533432973928,0.245,0.045,0,1,TNFRSF14
0,2.8415470653866235,0.708,0.242,0,1,MYL12A
0,2.8284407118150185,0.141,0.033,0,1,SLC9A3R1
3.287113223340782e-282,2.822934204518567,0.157,0.049,1.3756568839681174e-277,1,SH2D2A
0,2.8206562563412705,0.159,0.029,0,1,NFKB2
0,2.815232618744259,0.194,0.026,0,1,GNLY
0,2.810602433658336,0.175,0.031,0,1,AC004687.1
0,2.810105146856079,0.236,0.055,0,1,CYTOR
0,2.787690025324463,0.841,0.371,0,1,SH3BGRL3
0,2.7775973953697912,0.145,0.028,0,1,ZC3H12A
0,2.7767016276011804,0.159,0.044,0,1,SAMD9
0,2.775783708182928,0.325,0.096,0,1,ZC3HAV1
0,2.7724488245812675,0.133,0.029,0,1,PIM2
0,2.7688258050774177,0.169,0.037,0,1,TNFRSF25
0,2.767818631997355,0.201,0.039,0,1,CARD16
0,2.764895371320567,0.162,0.047,0,1,CCL4L2
0,2.7464769860589735,0.186,0.037,0,1,LPXN
0,2.7450772909705945,0.807,0.119,0,1,SRGN
0,2.7397841243813557,0.159,0.042,0,1,ABHD14B
0,2.73076706382003,0.487,0.161,0,1,EZR
0,2.7251806215300753,0.16,0.028,0,1,IL16
0,2.7242562131476733,0.588,0.236,0,1,YPEL5
0,2.719726263020998,0.293,0.08,0,1,TMEM243
0,2.713159548222963,0.35,0.109,0,1,CNOT6L
0,2.6955453719359252,0.496,0.092,0,1,NR4A2
0,2.6763364083794143,0.211,0.059,0,1,FAM118A
0,2.664906767811256,0.283,0.083,0,1,SEPTIN1
0,2.661380488690618,0.288,0.082,0,1,CCND3
0,2.659448676659028,0.497,0.155,0,1,ZNF331
0,2.658592932880828,0.218,0.081,0,1,TSPYL2
0,2.6523095827476655,0.484,0.124,0,1,CD99
0,2.6495963446725534,0.133,0.028,0,1,NCKAP1L
0,2.6320371028169807,0.458,0.157,0,1,RGS10
6.290926324918245e-253,2.6249574022543913,0.193,0.077,2.6327526669782856e-248,1,SC5D
0,2.624744551272588,0.641,0.101,0,1,LAPTM5
0,2.6244828377902287,0.377,0.092,0,1,WIPF1
0,2.619597508573773,0.147,0.032,0,1,MYO1F
0,2.6192336387196,0.222,0.051,0,1,ANXA11
0,2.616720401936865,0.144,0.03,0,1,TRIM22
0,2.606229511600971,0.192,0.039,0,1,VSIR
0,2.59825755399588,0.199,0.04,0,1,SP110
0,2.591676614751198,0.276,0.045,0,1,ARHGAP15
0,2.586800658570167,0.398,0.109,0,1,IRF1
0,2.571144257496811,0.304,0.067,0,1,TGFB1
0,2.565503699916658,0.241,0.035,0,1,PLAC8
