IMR5	SHEP	SKNAS	SY5Y
ENSG00000276869.1	0	0	0	0
ENSG00000243539.3	1	0	0	1
ENSG00000120949.13	16	4	2	10
ENSG00000281342.1	0	0	0	0
ENSG00000201135.1	0	0	0	0
ENSG00000227875.2	0	0	0	0
ENSG00000275459.1	0	0	0	0
ENSG00000028137.15	233	102	1121	221
ENSG00000263676.1	0	0	0	0
ENSG00000225196.2	0	0	0	0
ENSG00000252969.1	0	0	0	0
ENSG00000048707.12	3133	1756	3360	2971
ENSG00000280999.1	1	3	10	6
ENSG00000239149.1	20	4	15	20
ENSG00000229484.1	6	2	1	0
ENSG00000162496.7	534	285	2404	319
ENSG00000221340.1	2	2	37	0
ENSG00000276830.1	0	1	7	0
ENSG00000272482.1	22	19	164	18
ENSG00000204518.2	7	2	6	0
ENSG00000226166.2	0	0	0	0
ENSG00000188984.10	0	0	0	0
ENSG00000157330.8	7	0	0	2
ENSG00000116726.4	0	2	0	0
ENSG00000116721.9	0	0	1	0
ENSG00000228338.1	0	0	0	0
ENSG00000239810.3	0	0	0	0
ENSG00000279195.1	0	0	0	0
ENSG00000231103.2	0	0	0	0
ENSG00000179172.8	5	0	3	5
ENSG00000120952.4	0	0	0	0
ENSG00000243073.3	0	0	0	0
ENSG00000187545.5	0	0	0	0
ENSG00000204510.4	0	0	0	0
ENSG00000207434.1	0	0	0	0
ENSG00000234064.1	0	0	0	0
ENSG00000232423.4	0	0	0	0
ENSG00000274178.2	0	0	0	0
ENSG00000274764.3	0	0	0	0
ENSG00000280267.2	0	0	0	0
ENSG00000229571.5	0	0	0	0
ENSG00000277058.2	2	0	0	0
ENSG00000277862.1	0	0	0	0
ENSG00000236179.1	0	0	0	0
ENSG00000275774.2	1	0	0	1
ENSG00000229978.1	0	0	0	0
ENSG00000233336.1	0	0	0	0
ENSG00000179412.10	1	1	2	0
ENSG00000204505.4	0	0	0	0
ENSG00000279169.1	0	0	0	0
ENSG00000279804.1	0	0	0	0
ENSG00000250894.1	0	0	0	0
ENSG00000270601.3	0	0	0	0
ENSG00000231219.1	0	0	0	0
ENSG00000207511.1	0	0	0	0
ENSG00000182330.9	0	0	0	0
ENSG00000204501.5	1	0	0	0
ENSG00000237700.1	0	0	0	0
ENSG00000228229.2	0	0	0	0
ENSG00000204481.7	0	0	0	0
ENSG00000204480.7	0	0	0	0
ENSG00000204479.4	0	0	0	0
ENSG00000204478.8	0	2	4	0
ENSG00000162494.5	20	80	17	69
ENSG00000259961.1	0	0	2	1
ENSG00000215909.3	0	0	0	0
ENSG00000162493.15	266	510	482	171
ENSG00000222952.1	2	0	0	0
ENSG00000266358.1	0	0	0	0
ENSG00000237445.2	0	1	0	0
ENSG00000253085.1	0	0	0	0
ENSG00000116731.21	1513	1189	2226	1193
ENSG00000252151.1	0	0	0	0
ENSG00000231606.1	4	0	5	0
ENSG00000234593.1	4	3	16	2
ENSG00000189337.14	707	290	994	473
ENSG00000280763.1	3	0	0	5
ENSG00000235829.1	6	2	15	3
ENSG00000175147.10	151	7	186	92
ENSG00000171729.12	960	783	1162	899
ENSG00000204464.6	21	8	14	14
ENSG00000215720.4	7	7	4	6
ENSG00000278480.1	31	13	16	15
ENSG00000142621.18	75	35	64	13
ENSG00000233485.1	3	2	0	0
ENSG00000236045.1	5	4	6	0
ENSG00000228140.1	16	13	15	3
ENSG00000142634.11	1198	2272	1858	819
ENSG00000162438.10	9	9	12	5
ENSG00000142615.7	2	0	1	0
ENSG00000215704.8	18	7	7	8
ENSG00000132906.16	643	669	567	425
ENSG00000116138.11	861	628	977	629
ENSG00000251866.1	2	1	2	1
ENSG00000272510.1	2	0	2	0
ENSG00000116771.5	55	46	73	125
ENSG00000237301.1	2	3	6	7
ENSG00000235084.3	12	11	4	12
ENSG00000252417.1	1	0	0	0
ENSG00000236500.1	0	0	0	0
ENSG00000197312.10	2314	922	1389	2181
ENSG00000215695.1	0	0	0	0
ENSG00000271742.1	0	0	0	0
ENSG00000116786.10	2264	1981	2537	1785
ENSG00000264048.1	0	0	0	0
ENSG00000237938.4	77	54	74	46
ENSG00000162461.7	149	166	239	419
ENSG00000224459.1	1	4	3	0
ENSG00000162460.6	0	1	8	0
ENSG00000162458.11	504	1438	2887	248
ENSG00000280788.1	4	0	0	3
ENSG00000224321.1	13	208	54	5
ENSG00000233954.6	246	139	179	203
ENSG00000178715.8	43	13	18	26
ENSG00000179743.3	255	129	159	218
ENSG00000065526.9	3553	2014	3386	2840
ENSG00000270620.1	6	2	2	9
ENSG00000116809.10	1502	1258	1325	1147
ENSG00000234607.2	14	5	9	12
ENSG00000231353.1	0	0	0	0
ENSG00000275503.1	0	0	0	0
ENSG00000224966.4	0	0	1	0
ENSG00000183888.4	26	9	10	256
ENSG00000233078.1	0	0	0	0
ENSG00000173641.16	871	758	1057	1629
ENSG00000186510.10	4	9	8	37
ENSG00000232456.1	2	2	4	0
ENSG00000184908.16	4	5	3	0
ENSG00000185519.8	4	69	83	8
ENSG00000142627.12	1077	3271	4017	396
ENSG00000227959.1	7	27	35	7
ENSG00000224621.1	3	13	21	3
ENSG00000142632.15	576	329	709	409
ENSG00000234166.1	0	0	0	0
ENSG00000237276.7	12	26	40	20
ENSG00000132881.10	57	122	102	54
ENSG00000233929.1	27	14	5	14
ENSG00000037637.9	1651	1024	1260	1248
ENSG00000055070.15	2384	2268	2414	2004
ENSG00000226457.1	23	5	10	14
ENSG00000187144.10	25	7	17	17
ENSG00000281598.1	0	0	0	0
ENSG00000157191.18	1577	1804	1725	1233
ENSG00000226029.1	164	67	118	97
ENSG00000080947.13	363	197	318	211
ENSG00000206652.1	10	2	5	3
ENSG00000261135.1	23	11	15	23
ENSG00000224174.2	2	2	0	0
ENSG00000233421.4	17	22	20	2
ENSG00000277344.1	0	0	0	0
ENSG00000268991.2	0	0	0	0
ENSG00000225710.1	0	1	0	6
ENSG00000266584.1	0	0	0	0
ENSG00000219481.9	1242	1006	1377	1098
ENSG00000271732.1	2	1	5	8
ENSG00000215908.6	1076	643	746	725
ENSG00000186301.8	70	71	104	48
ENSG00000207513.1	1	1	2	0
ENSG00000237847.2	0	0	0	0
ENSG00000280114.1	0	3	2	9
ENSG00000264742.1	0	0	0	0
ENSG00000236698.1	18	10	24	18
ENSG00000268869.4	2	7	9	16
ENSG00000279151.1	0	0	0	0
ENSG00000279132.1	0	0	0	0
ENSG00000058453.15	897	547	838	593
ENSG00000207389.1	3	0	1	0
ENSG00000227684.1	0	0	0	0
ENSG00000186715.9	14	30	61	10
ENSG00000223643.5	0	0	0	0
ENSG00000230239.1	0	0	0	0
ENSG00000263811.1	0	0	0	0
ENSG00000228549.3	32	69	8	10
ENSG00000277234.1	0	0	0	0
ENSG00000238142.1	8	2	15	3
ENSG00000235241.1	1	0	3	1
ENSG00000207005.1	8	4	9	3
ENSG00000272426.1	18	14	8	16
ENSG00000117122.12	386	757	588	185
ENSG00000226526.1	6	1	4	1
ENSG00000159363.16	1688	1716	2066	940
ENSG00000117118.8	1193	1160	1206	1105
ENSG00000117115.11	866	598	1038	2674
ENSG00000281330.1	0	0	0	0
ENSG00000204362.5	14	12	10	2
ENSG00000142623.9	4	142	26	5
ENSG00000142619.4	3	113	554	2
ENSG00000266634.1	0	0	2	0
ENSG00000159339.12	25	8	30	28
ENSG00000280226.1	0	0	0	0
ENSG00000276747.1	4	0	1	3
ENSG00000179051.12	3153	2117	2888	2702
ENSG00000227751.1	0	0	0	0
ENSG00000266727.1	0	0	0	0
ENSG00000074964.15	1454	819	1122	1243
